"Family","Stage","Random_effect"
"Spirocercidae","1 (I)",0.741
"Protostrongylidae","1 (I)",0.717
"Ophidascaridae","2 (D)",0.659
"Anisakidae","2 (I)",0.624
"Dipylidiidae","2 (I)",0.529
"Paruterinidae","1 (I)",0.507
"Hymenolepididae","3 (D)",0.473
"Capillariidae","1 (D)",0.467
"Raphidascarididae","1 (I)",0.451
"Linstowiidae","2 (D)",0.425
"Rhadinorhynchidae","2 (D)",0.424
"Cosmocercidae","1 (D)",0.418
"Crenosomatidae","1 (I)",0.415
"Spiruridae","2 (D)",0.412
"Angiostrongylidae","1 (I)",0.405
"Acuariidae","2 (D)",0.395
"Cystidicolidae","2 (D)",0.387
"Oligacanthorhynchidae","2 (I)",0.385
"Dioctophymidae","2 (I)",0.35
"Capillariidae","2 (D)",0.347
"Mesocestoididae","2 (I)",0.346
"Ophidascaridae","2 (I)",0.336
"Amidostomatidae","1 (D)",0.33
"Acrobothriidae","2 (D)",0.327
"Strongylidae","1 (D)",0.324
"Echinorhynchidae","2 (D)",0.309
"Syngamidae","1 (I)",0.308
"Spirocercidae","2 (I)",0.282
"Dilepididae","2 (D)",0.274
"Cucullanidae","3 (D)",0.271
"Hedruridae","2 (D)",0.271
"Polymorphidae","3 (D)",0.268
"Anisakidae","1 (I)",0.267
"Metastrongylidae","1 (I)",0.267
"Bothriocephalidae","2 (D)",0.255
"Syngamidae","2 (D)",0.254
"Rhabdochonidae","2 (D)",0.247
"Pharyngodonidae","1 (D)",0.244
"Diphyllobothriidae","1 (I)",0.243
"Polymorphidae","2 (D)",0.239
"Thelaziidae","2 (I)",0.229
"Illiosentidae","2 (D)",0.228
"Filaroididae","1 (I)",0.222
"Anisakidae","4 (D)",0.219
"Polymorphidae","2 (I)",0.214
"Amabiliidae","1 (I)",0.211
"Molineidae","1 (D)",0.211
"Taeniidae","1 (I)",0.209
"Acuariidae","3 (D)",0.202
"Amphilinidae","1 (I)",0.191
"Physalopteridae","1 (I)",0.189
"Ophidascaridae","1 (I)",0.187
"Chabertiidae","1 (D)",0.186
"Anguillicolidae","2 (I)",0.186
"Gnathostomatidae","3 (I)",0.185
"Mesocestoididae","3 (D)",0.185
"Paruterinidae","2 (D)",0.184
"Gnathostomatidae","2 (I)",0.18
"Trichosomoididae","2 (D)",0.179
"Dilepididae","3 (D)",0.175
"Diphyllobothriidae","3 (D)",0.174
"Hymenolepididae","2 (D)",0.169
"Tetrameridae","2 (D)",0.168
"Subuluridae","1 (I)",0.16
"Dioctophymidae","4 (D)",0.158
"Catenotaeniidae","2 (D)",0.158
"Guyanemidae","2 (D)",0.156
"Raphidascarididae","3 (D)",0.154
"Thelaziidae","1 (I)",0.153
"Phyllobothriidae","3 (I)",0.152
"Ophidascaridae","3 (D)",0.15
"Plagiorhynchidae","2 (D)",0.148
"Gryporhynchidae","2 (I)",0.145
"Tetrameridae","1 (I)",0.143
"Dracunculidae","3 (D)",0.142
"Lacistorhynchidae","2 (I)",0.142
"Spiruridae","1 (I)",0.141
"Thelaziidae","2 (D)",0.14
"Anoplocephalidae","1 (I)",0.137
"Moniliformidae","2 (D)",0.135
"Subuluridae","2 (D)",0.133
"Davaineidae","1 (I)",0.131
"Soboliphymatidae","2 (I)",0.131
"Acuariidae","4 (D)",0.128
"Raphidascarididae","2 (I)",0.127
"Neoechinorhynchidae","3 (D)",0.126
"Soboliphymatidae","3 (D)",0.123
"Acrobothriidae","1 (I)",0.117
"Acuariidae","2 (I)",0.116
"Diphyllobothriidae","2 (I)",0.115
"Rhabdochonidae","1 (I)",0.112
"Raphidascarididae","3 (I)",0.11
"Tetrabothriidae","3 (D)",0.11
"Rhadinorhynchidae","3 (D)",0.11
"Rictulariidae","3 (D)",0.108
"Anguillicolidae","1 (I)",0.107
"Serendipidae","1 (I)",0.106
"Proteocephalidae","3 (D)",0.105
"Tentaculariidae","2 (I)",0.101
"Toxocaridae","3 (D)",0.098
"Heteracanthocephalidae","1 (I)",0.098
"Rictulariidae","1 (I)",0.097
"Hymenolepididae","1 (I)",0.097
"Cooperiidae","1 (D)",0.097
"Philometridae","1 (I)",0.096
"Otobothriidae","3 (I)",0.095
"Physalopteridae","2 (D)",0.094
"Camallanidae","3 (D)",0.092
"Spirocercidae","2 (D)",0.091
"Proteocephalidae","1 (I)",0.091
"Habronematidae","2 (I)",0.091
"Quadrigyridae","2 (I)",0.091
"Toxocaridae","1 (I)",0.087
"Centrorhynchidae","3 (D)",0.087
"Capillariidae","3 (D)",0.079
"Amabiliidae","2 (D)",0.078
"Diplotriaenidae","1 (I)",0.074
"Bothriocephalidae","1 (I)",0.07
"Trichostrongylidae","1 (D)",0.069
"Cucullanidae","2 (D)",0.066
"Crenosomatidae","3 (D)",0.063
