"Family","Stage","Random_effect"
"Fessisentidae","2 (D)",0.67
"Echinorhynchidae","2 (D)",0.594
"Spirocercidae","2 (I)",0.513
"Tetrameridae","1 (I)",0.485
"Angiostrongylidae","1 (I)",0.477
"Polymorphidae","2 (D)",0.471
"Diphyllobothriidae","4 (D)",0.471
"Kathlaniidae","1 (I)",0.463
"Anoplocephalidae","1 (I)",0.461
"Paruterinidae","1 (I)",0.44
"Illiosentidae","2 (D)",0.405
"Raphidascarididae","3 (D)",0.389
"Capillariidae","1 (D)",0.385
"Dioecotaeniidae","1 (I)",0.376
"Gnathostomatidae","2 (I)",0.375
"Toxocaridae","1 (I)",0.356
"Acuariidae","2 (I)",0.349
"Ophidascaridae","1 (I)",0.325
"Habronematidae","2 (D)",0.324
"Molineidae","1 (D)",0.312
"Gnathostomatidae","3 (I)",0.307
"Paruterinidae","2 (D)",0.302
"Serendipidae","1 (I)",0.293
"Gnathostomatidae","2 (D)",0.284
"Spiruridae","2 (D)",0.277
"Echinobothriidae","1 (I)",0.277
"Camallanidae","3 (D)",0.277
"Hedruridae","2 (D)",0.271
"Diphyllobothriidae","3 (D)",0.27
"Dilepididae","2 (D)",0.267
"Onchobothriidae","2 (I)",0.263
"Lacistorhynchidae","2 (I)",0.259
"Metastrongylidae","2 (I)",0.254
"Dipylidiidae","3 (D)",0.249
"Mesocestoididae","2 (I)",0.248
"Tentaculariidae","2 (I)",0.244
"Dioctophymidae","3 (D)",0.243
"Otobothriidae","1 (I)",0.237
"Hymenolepididae","1 (I)",0.237
"Syngamidae","2 (D)",0.234
"Onchobothriidae","1 (I)",0.23
"Rictulariidae","2 (I)",0.226
"Raphidascarididae","1 (I)",0.212
"Amidostomatidae","1 (D)",0.212
"Neoechinorhynchidae","3 (D)",0.212
"Mesocestoididae","3 (D)",0.211
"Lacistorhynchidae","4 (D)",0.209
"Cystidicolidae","2 (D)",0.208
"Anisakidae","1 (I)",0.208
"Anisakidae","2 (I)",0.207
"Plagiorhynchidae","2 (I)",0.202
"Amphilinidae","1 (I)",0.2
"Syngamidae","1 (I)",0.193
"Dioctophymidae","4 (D)",0.191
"Raphidascarididae","2 (I)",0.189
"Rictulariidae","1 (I)",0.189
"Dracunculidae","3 (D)",0.189
"Crenosomatidae","1 (I)",0.184
"Trichuridae","1 (D)",0.184
"Gongylonematidae","2 (D)",0.183
"Filaroididae","1 (I)",0.179
"Angiostrongylidae","2 (I)",0.178
"Dipylidiidae","1 (I)",0.176
"Acrobothriidae","2 (D)",0.175
"Dilepididae","3 (D)",0.172
"Haplobothriidae","2 (I)",0.172
"Guyanemidae","2 (D)",0.168
"Acuariidae","2 (D)",0.168
"Oligacanthorhynchidae","3 (D)",0.166
"Trichostrongylidae","1 (D)",0.162
"Ascarididae","1 (D)",0.162
"Bothriocephalidae","2 (D)",0.158
"Ascaridiidae","1 (D)",0.156
"Philometridae","2 (I)",0.153
"Strongylidae","2 (D)",0.152
"Physalopteridae","1 (I)",0.148
"Anisakidae","3 (D)",0.146
"Dracunculidae","2 (D)",0.146
"Quadrigyridae","2 (I)",0.144
"Cucullanidae","2 (D)",0.142
"Ascarididae","1 (I)",0.14
"Centrorhynchidae","2 (I)",0.136
"Acuariidae","3 (I)",0.129
"Pomphorhynchidae","3 (D)",0.128
"Physalopteridae","2 (I)",0.125
"Dioctophymidae","2 (I)",0.125
"Subuluridae","2 (D)",0.122
"Ancylostomatidae","1 (D)",0.113
"Capillariidae","2 (I)",0.113
"Cooperiidae","1 (D)",0.111
"Trichosomoididae","1 (I)",0.108
"Heteracanthocephalidae","1 (I)",0.106
"Thelaziidae","2 (I)",0.103
"Pseudaliidae","1 (I)",0.101
"Cosmocercidae","1 (D)",0.1
"Proteocephalidae","1 (I)",0.099
"Rhinebothriidae","1 (I)",0.095
"Davaineidae","2 (D)",0.094
"Anisakidae","3 (I)",0.093
"Polymorphidae","3 (D)",0.093
"Oligacanthorhynchidae","1 (I)",0.088
"Plagiorhynchidae","2 (D)",0.088
"Protostrongylidae","1 (I)",0.088
"Rhabdochonidae","2 (D)",0.086
"Spiruridae","1 (I)",0.086
"Cucullanidae","3 (D)",0.075
"Catenotaeniidae","2 (D)",0.074
"Ophidascaridae","3 (D)",0.073
"Bothriocephalidae","1 (I)",0.071
"Onchobothriidae","3 (D)",0.071
"Diphyllobothriidae","1 (I)",0.067
"Pharyngodonidae","1 (D)",0.065
"Linstowiidae","2 (D)",0.064
"Progynotaeniidae","2 (D)",0.064
"Subuluridae","1 (I)",0.064
"Pomphorhynchidae","2 (D)",0.064
"Ophidascaridae","2 (I)",0.061
"Habronematidae","1 (I)",0.06
"Soboliphymatidae","3 (D)",0.058
"Moniliformidae","2 (D)",0.055
"Amabiliidae","1 (I)",0.054
"Diplotriaenidae","1 (I)",0.052
"Metastrongylidae","1 (I)",0.051
"Spirocercidae","2 (D)",0.046
"Rhabdochonidae","1 (I)",0.044
"Strongylidae","1 (I)",0.043
"Capillariidae","3 (D)",0.041
"Rhadinorhynchidae","2 (D)",0.037
"Dipylidiidae","2 (I)",0.033
"Bothriocephalidae","2 (I)",0.031
"Quadrigyridae","2 (D)",0.03
"Gryporhynchidae","2 (I)",0.027
"Raphidascarididae","4 (D)",0.025
"Dictyocaulidae","1 (D)",0.023
"Otobothriidae","4 (D)",0.023
"Capillariidae","2 (D)",0.021
"Thelaziidae","2 (D)",0.02
"Taeniidae","1 (I)",0.019
"Chabertiidae","1 (D)",0.018
"Lacistorhynchidae","3 (D)",0.01
"Rictulariidae","3 (D)",0.008
"Echinobothriidae","2 (D)",0.007
"Spirocercidae","3 (D)",0.007
"Oligacanthorhynchidae","2 (I)",0.007
"Crenosomatidae","3 (D)",0.006
"Ophidascaridae","2 (D)",0.001
"Anisakidae","4 (I)",0
"Giganthorhynchidae","2 (D)",0
"Cystidicolidae","3 (D)",-0.001
