"Host","Parasite","ParasiteFull"
"Acanthophis antarcticus","Abbreviata antarctica","Abbreviata antarctica (Linstow, 1899)"
"Amphibolurus muricatus","Abbreviata antarctica","Abbreviata antarctica (Linstow, 1899)"
"Austrelaps superbus","Abbreviata antarctica","Abbreviata antarctica (Linstow, 1899)"
"Denisonia fasciata","Abbreviata antarctica","Abbreviata antarctica (Linstow, 1899)"
"Drysdalia coronata","Abbreviata antarctica","Abbreviata antarctica (Linstow, 1899)"
"Echiopsis curta","Abbreviata antarctica","Abbreviata antarctica (Linstow, 1899)"
"Morelia spilota","Abbreviata antarctica","Abbreviata antarctica (Linstow, 1899)"
"Notechis ater","Abbreviata antarctica","Abbreviata antarctica (Linstow, 1899)"
"Pogona microlepidota","Abbreviata antarctica","Abbreviata antarctica (Linstow, 1899)"
"Pogona minor","Abbreviata antarctica","Abbreviata antarctica (Linstow, 1899)"
"Pogona nullarbor","Abbreviata antarctica","Abbreviata antarctica (Linstow, 1899)"
"Pseudechis australis","Abbreviata antarctica","Abbreviata antarctica (Linstow, 1899)"
"Tiliqua multifasciata","Abbreviata antarctica","Abbreviata antarctica (Linstow, 1899)"
"Tiliqua nigrolutea","Abbreviata antarctica","Abbreviata antarctica (Linstow, 1899)"
"Tiliqua occipitalis","Abbreviata antarctica","Abbreviata antarctica (Linstow, 1899)"
"Tiliqua rugosa","Abbreviata antarctica","Abbreviata antarctica (Linstow, 1899)"
"Tiliqua scincoides","Abbreviata antarctica","Abbreviata antarctica (Linstow, 1899)"
"Trachydosaurus rugosus","Abbreviata antarctica","Abbreviata antarctica (Linstow, 1899)"
"Varanus acanthurus","Abbreviata antarctica","Abbreviata antarctica (Linstow, 1899)"
"Varanus giganteus","Abbreviata antarctica","Abbreviata antarctica (Linstow, 1899)"
"Varanus glebopalma","Abbreviata antarctica","Abbreviata antarctica (Linstow, 1899)"
"Varanus gouldii","Abbreviata antarctica","Abbreviata antarctica (Linstow, 1899)"
"Varanus rosenbergi","Abbreviata antarctica","Abbreviata antarctica (Linstow, 1899)"
