"Parasite.species","Host.species","best_host_name"
"Abbreviata antarctica","Acanthophis antarcticus","Acanthophis antarcticus"
"Abbreviata antarctica","Amphibolurus muricatus","Amphibolurus muricatus"
"Abbreviata antarctica","Austrelaps superbus","Austrelaps superbus"
"Abbreviata antarctica","Denisonia fasciata","Suta fasciata"
"Abbreviata antarctica","Drysdalia coronata","Elapognathus coronatus"
"Abbreviata antarctica","Echiopsis curta","Echiopsis curta"
"Abbreviata antarctica","Morelia spilota","Morelia spilota"
"Abbreviata antarctica","Notechis ater","Notechis scutatus"
"Abbreviata antarctica","Pogona microlepidota","Pogona microlepidota"
"Abbreviata antarctica","Pogona minor","Pogona minor"
"Abbreviata antarctica","Pogona nullarbor","Pogona nullarbor"
"Abbreviata antarctica","Pseudechis australis","Pseudechis australis"
"Abbreviata antarctica","Tiliqua multifasciata","Tiliqua multifasciata"
"Abbreviata antarctica","Tiliqua nigrolutea","Tiliqua nigrolutea"
"Abbreviata antarctica","Tiliqua occipitalis","Tiliqua occipitalis"
"Abbreviata antarctica","Tiliqua rugosa","Tiliqua rugosa"
"Abbreviata antarctica","Tiliqua scincoides","Tiliqua scincoides"
"Abbreviata antarctica","Trachydosaurus rugosus","Tiliqua rugosa"
"Abbreviata antarctica","Varanus acanthurus","Varanus acanthurus"
"Abbreviata antarctica","Varanus giganteus","Varanus giganteus"
"Abbreviata antarctica","Varanus glebopalma","Varanus glebopalma"
"Abbreviata antarctica","Varanus gouldii","Varanus gouldii"
"Abbreviata antarctica","Varanus rosenbergi","Varanus rosenbergi"
"Abbreviata antarctica","Varanus tristis","Varanus tristis"
"Abbreviata antarctica","Varanus varius","Varanus varius"
"Abbreviata caucasica","Homo sapiens","Homo sapiens"
"Abbreviata caucasica","Papio anubis","Papio anubis"
"Abbreviata kazachstanica","Phodomalo fausti","Phodomalo fausti"
"Abbreviata kazachstanica","Pisterotarsa gigantea","Pisterotarsa gigantea"
"Abbreviata kazachstanica","Tenturia gigas","Tentyria gigas"
"Abbreviata turkomanica","Phodomalo fausti","Phodomalo fausti"
"Acanthobothrium brevissime","Dasyatis americana","Hypanus americanus"
"Acanthobothrium brevissime","Dasyatis sabina","Hypanus sabinus"
"Acanthobothrium brevissime","Dasyatis say","Hypanus say"
"Acanthobothrium brevissime","Myliobatis peruvianus","Myliobatis peruvianus"
"Acanthobothrium brevissime","Psammobatis caudispina","Sympterygia brevicaudata"
"Acanthobothrium brevissime","Raja eglanteria","Raja eglanteria"
"Acanthobothrium olseni","Rhinobatos productus","Pseudobatos productus"
"Acanthobothrium olseni","Urobatis halleri","Urolophus halleri"
"Acanthocephalus anguillae","Abramis ballerus","Ballerus ballerus"
"Acanthocephalus anguillae","Abramis bjoerkna","Blicca bjoerkna"
"Acanthocephalus anguillae","Abramis brama","Abramis brama"
"Acanthocephalus anguillae","Abramis sapa","Ballerus sapa"
"Acanthocephalus anguillae","Acerina cernua","Gymnocephalus cernua"
"Acanthocephalus anguillae","Acerina schraetser","Gymnocephalus schraetser"
"Acanthocephalus anguillae","Acipenser gueldenstaedti","Acipenser gueldenstaedtii"
"Acanthocephalus anguillae","Acipenser ruthenus","Acipenser ruthenus"
"Acanthocephalus anguillae","Alburnoides bipunctatus","Alburnoides bipunctatus"
"Acanthocephalus anguillae","Alburnus alburnus","Alburnus alburnus"
"Acanthocephalus anguillae","Anguilla anguilla","Anguilla anguilla"
"Acanthocephalus anguillae","Asellus aquaticus","Asellus aquaticus"
