"Parasite.species","host_record_lcdb_nhm","host_sp_no_subsp","host_genus_lcdb_nhm","best_host_name"
"Abbreviata antarctica","Acheta domesticus","Acheta domesticus","Acheta","Acheta domesticus"
"Abbreviata antarctica","Teleogryllus oceanicus","Teleogryllus oceanicus","Teleogryllus","Teleogryllus oceanicus"
"Abbreviata antarctica","Austrelaps superbus","Austrelaps superbus","Austrelaps","Austrelaps superbus"
"Abbreviata antarctica","Denisonia fasciata","Denisonia fasciata","Denisonia","Suta fasciata"
"Abbreviata antarctica","Drysdalia coronata","Drysdalia coronata","Drysdalia","Elapognathus coronatus"
"Abbreviata antarctica","Echiopsis curta","Echiopsis curta","Echiopsis","Echiopsis curta"
"Abbreviata antarctica","Lissolepis luctuosus","Lissolepis luctuosus","Lissolepis","Lissolepis luctuosa"
"Abbreviata antarctica","Notechis ater","Notechis ater","Notechis","Notechis scutatus"
"Abbreviata antarctica","Pogona microlepidota","Pogona microlepidota","Pogona","Pogona microlepidota"
"Abbreviata antarctica","Pogona vitticeps","Pogona vitticeps","Pogona","Pogona vitticeps"
"Abbreviata antarctica","Tiliqua multifasciata","Tiliqua multifasciata","Tiliqua","Tiliqua multifasciata"
"Abbreviata antarctica","Tiliqua occipitalis","Tiliqua occipitalis","Tiliqua","Tiliqua occipitalis"
"Abbreviata antarctica","Tiliqua rugosa","Tiliqua rugosa","Tiliqua","Tiliqua rugosa"
"Abbreviata antarctica","Varanus rosenbergi","Varanus rosenbergi","Varanus","Varanus rosenbergi"
"Abbreviata caucasica","Blatella germanica","Blatella germanica","Blatella","Blatella germanica"
"Abbreviata caucasica","Schistocerca gregaria","Schistocerca gregaria","Schistocerca","Schistocerca gregaria"
"Abbreviata caucasica","Homo sapiens","Homo sapiens","Homo","Homo sapiens"
"Abbreviata caucasica","Lophocebus aterrimus","Lophocebus aterrimus","Lophocebus","Lophocebus aterrimus"
"Abbreviata caucasica","Papio anubis","Papio anubis","Papio","Papio anubis"
"Abbreviata caucasica","Papio doguera","Papio doguera","Papio","Papio doguera"
"Abbreviata kazachstanica","Adesmia panderi","Adesmia panderi","Adesmia","Adesmia panderi"
"Abbreviata kazachstanica","Aiolopus oxyanus","Aiolopus oxyanus","Aiolopus","Aiolopus oxyanus"
"Abbreviata kazachstanica","Blaps fausti","Blaps fausti","Blaps","Blaps fausti"
"Abbreviata kazachstanica","Bryodema tuberculatum","Bryodema tuberculatum","Bryodema","Bryodemella tuberculata"
"Abbreviata kazachstanica","Calliptamus barbarus","Calliptamus barbarus","Calliptamus","Calliptamus barbarus"
"Abbreviata kazachstanica","Calliptamus italicus","Calliptamus italicus","Calliptamus","Calliptamus italicus"
"Abbreviata kazachstanica","Decticus verrucivorus","Decticus verrucivorus","Decticus","Decticus verrucivorus"
"Abbreviata kazachstanica","Dila laevicollis","Dila laevicollis","Dila","Dila laevicollis"
"Abbreviata kazachstanica","Duroniella sp.","Duroniella sp.","Duroniella","Duroniella sp."
"Abbreviata kazachstanica","Epacromius tergestinus","Epacromius tergestinus","Epacromius","Epacromius tergestinus"
"Abbreviata kazachstanica","Gryllus bimaculatus","Gryllus bimaculatus","Gryllus","Gryllus bimaculatus"
"Abbreviata kazachstanica","Hierodula kazachstanica","Hierodula kazachstanica","Hierodula","Hierodula kazachstanica"
"Abbreviata kazachstanica","Ocnera sp.","Ocnera sp.","Ocnera","Ocnera sp."
"Abbreviata kazachstanica","Pachyscelis banghaasi","Pachyscelis banghaasi","Pachyscelis","Pachyscelis banghaasi"
"Abbreviata kazachstanica","Pelorocnemis punctata","Pelorocnemis punctata","Pelorocnemis","Pelorocnemis punctata"
"Abbreviata kazachstanica","Perotmites tartaris","Perotmites tartaris","Perotmites","Perotmites tartaris"
"Abbreviata kazachstanica","Pimelia verrucosa","Pimelia verrucosa","Pimelia","Pimelia verrucosa"
"Abbreviata kazachstanica","Platycleis intermedia","Platycleis intermedia","Platycleis","Platycleis intermedia"
"Abbreviata kazachstanica","Prosodes baeri","Prosodes baeri","Prosodes","Prosodes baeri"
"Abbreviata kazachstanica","Prosodes nitida","Prosodes nitida","Prosodes","Prosodes nitida"
"Abbreviata kazachstanica","Prosodes pygmaea","Prosodes pygmaea","Prosodes","Prosodes pygmaea"
"Abbreviata kazachstanica","Prosodes sp.","Prosodes sp.","Prosodes","Prosodes sp."
"Abbreviata kazachstanica","Semenovia temerlana","Semenovia temerlana","Semenovia","Semenovia temerlana"
"Abbreviata kazachstanica","Stalagmoptera confusa","Stalagmoptera confusa","Stalagmoptera","Stalagmoptera confusa"
"Abbreviata kazachstanica","Tentyria gigas","Tentyria gigas","Tentyria","Tentyria gigas"
"Abbreviata kazachstanica","Tettigonia viridissima","Tettigonia viridissima","Tettigonia","Tettigonia viridissima"
"Abbreviata kazachstanica","Gymnodactylus russovi","Gymnodactylus russovi","Gymnodactylus","Gymnodactylus russovi"
"Abbreviata kazachstanica","Pelophylax ridibundus","Pelophylax ridibundus","Pelophylax","Pelophylax ridibundus"
"Abbreviata kazachstanica","Ophisaurus apus","Ophisaurus apus","Ophisaurus","Pseudopus apodus"
"Abbreviata turkomanica","Pisterotarsa gigantea","Pisterotarsa gigantea","Pisterotarsa","Pisterotarsa gigantea"
"Abbreviata turkomanica","Agama sanguinoienta","Agama sanguinoienta","Agama","Agama sanguinoienta"
"Abbreviata turkomanica","Phrynocephalus mystaceus","Phrynocephalus mystaceus","Phrynocephalus","Phrynocephalus mystaceus"
"Abbreviata turkomanica","Phrynocephalus reticulatus","Phrynocephalus reticulatus","Phrynocephalus","Phrynocephalus reticulatus"
"Acanthobothrium brevissime","Branchiostoma floridae","Branchiostoma floridae","Branchiostoma","Branchiostoma floridae"
"Acanthobothrium brevissime","Ensis minor","Ensis minor","Ensis","Ensis minor"
"Acanthobothrium brevissime","Dasyatis say","Dasyatis say","Dasyatis","Hypanus say"
"Acanthobothrium olseni","Tigriopus californicus","Tigriopus californicus","Tigriopus","Tigriopus californicus"
"Acanthobothrium olseni","Rhinobatos productus","Rhinobatos productus","Rhinobatos","Pseudobatos productus"
"Acanthobothrium olseni","Urobatis halleri","Urobatis halleri","Urobatis","Urolophus halleri"
"Acanthocephalus anguillae","Asellus aquaticus","Asellus aquaticus","Asellus","Asellus aquaticus"
"Acanthocephalus anguillae","Abramis brama","Abramis brama","Abramis","Abramis brama"
"Acanthocephalus anguillae","Anguilla anguilla","Anguilla anguilla","Anguilla","Anguilla anguilla"
"Acanthocephalus anguillae","Aspius aspius","Aspius aspius","Aspius","Leuciscus aspius"
"Acanthocephalus anguillae","Leuciscus cephalus","Leuciscus cephalus","Leuciscus","Squalius cephalus"
"Acanthocephalus anguillae","Leuciscus idus","Leuciscus idus","Leuciscus","Leuciscus idus"
"Acanthocephalus anguillae","Scardinius erythrophthalmus","Scardinius erythrophthalmus","Scardinius","Scardinius erythrophthalmus"
"Acanthocephalus anguillae","Tinca tinca","Tinca tinca","Tinca","Tinca tinca"
"Acanthocephalus anthuris","Proasellus coxalis","Proasellus coxalis","Proasellus","Proasellus coxalis"
"Acanthocephalus anthuris","Lissotriton vulgaris","Lissotriton vulgaris","Lissotriton","Lissotriton vulgaris"
"Acanthocephalus anthuris","Rana ridibunda","Rana ridibunda","Rana","Pelophylax ridibundus"
"Acanthocephalus anthuris","Triturus cristatus","Triturus cristatus","Triturus","Triturus cristatus"
"Acanthocephalus anthuris","Triturus helveticus","Triturus helveticus","Triturus","Lissotriton helveticus"
"Acanthocephalus anthuris","Triturus marmoratus","Triturus marmoratus","Triturus","Triturus marmoratus"
"Acanthocephalus clavula","Asellus meridianus","Asellus meridianus","Asellus","Asellus meridianus"
"Acanthocephalus clavula","Echinogammarus pungens","Echinogammarus pungens","Echinogammarus","Echinogammarus pungens"
"Acanthocephalus clavula","Echinogammarus stammeri","Echinogammarus stammeri","Echinogammarus","Echinogammarus stammeri"
"Acanthocephalus clavula","Anguilla anguilla","Anguilla anguilla","Anguilla","Anguilla anguilla"
"Acanthocephalus clavula","Coregonus pennantii","Coregonus pennantii","Coregonus","Coregonus pennantii"
"Acanthocephalus clavula","Cottus gobio","Cottus gobio","Cottus","Cottus gobio"
"Acanthocephalus clavula","Salmo trutta","Salmo trutta","Salmo","Salmo trutta"
"Acanthocephalus dirus","Asellus intermedius","Asellus intermedius","Asellus","Proasellus intermedius"
"Acanthocephalus dirus","Caecidotea intermedius","Caecidotea intermedius","Caecidotea","Caecidotea intermedius"
"Acanthocephalus dirus","Caecidotea militaris","Caecidotea militaris","Caecidotea","Caecidotea militaris"
"Acanthocephalus dirus","Lirceus garmani","Lirceus garmani","Lirceus","Lirceus garmani"
"Acanthocephalus dirus","Lirceus lineatus","Lirceus lineatus","Lirceus","Lirceus lineatus"
"Acanthocephalus dirus","Carassius auratus","Carassius auratus","Carassius","Carassius auratus"
"Acanthocephalus dirus","Catostomus commersoni","Catostomus commersoni","Catostomus","Catostomus commersonii"
"Acanthocephalus dirus","Cyprinus carpio","Cyprinus carpio","Cyprinus","Cyprinus carpio"
"Acanthocephalus dirus","Lepomis cyanellus","Lepomis cyanellus","Lepomis","Lepomis cyanellus"
"Acanthocephalus dirus","Lepomis macrochirus","Lepomis macrochirus","Lepomis","Lepomis macrochirus"
"Acanthocephalus dirus","Semotilus atromaculatus","Semotilus atromaculatus","Semotilus","Semotilus atromaculatus"
"Acanthocephalus galaxii","Paracalliope fluviatilis","Paracalliope fluviatilis","Paracalliope","Paracalliope fluviatilis"
"Acanthocephalus galaxii","Aldrichetta forsteri","Aldrichetta forsteri","Aldrichetta","Aldrichetta forsteri"
"Acanthocephalus galaxii","Galaxias argenteus","Galaxias argenteus","Galaxias","Galaxias argenteus"
"Acanthocephalus galaxii","Galaxias maculatus","Galaxias maculatus","Galaxias","Galaxias maculatus"
"Acanthocephalus galaxii","Retropinna retropinna","Retropinna retropinna","Retropinna","Retropinna retropinna"
"Acanthocephalus lucii","Asellus aquaticus","Asellus aquaticus","Asellus","Asellus aquaticus"
"Acanthocephalus lucii","Anguilla anguilla","Anguilla anguilla","Anguilla","Anguilla anguilla"
"Acanthocephalus lucii","Esox lucius","Esox lucius","Esox","Esox lucius"
"Acanthocephalus lucii","Gasterosteus aculeatus","Gasterosteus aculeatus","Gasterosteus","Gasterosteus aculeatus"
"Acanthocephalus lucii","Gymnocephalus cernuus","Gymnocephalus cernuus","Gymnocephalus","Gymnocephalus cernua"
"Acanthocephalus lucii","Lota lota","Lota lota","Lota","Lota lota"
"Acanthocephalus lucii","Perca fluviatilis","Perca fluviatilis","Perca","Perca fluviatilis"
"Acanthocephalus lucii","Siluris glanis","Siluris glanis","Siluris","Silurus glanis"
"Acanthocephalus ranae","Asellus aquaticus","Asellus aquaticus","Asellus","Asellus aquaticus"
"Acanthocephalus ranae","Bombina bombina","Bombina bombina","Bombina","Bombina bombina"
"Acanthocephalus ranae","Bufo bufo","Bufo bufo","Bufo","Bufo bufo"
"Acanthocephalus ranae","Bufo viridis","Bufo viridis","Bufo","Pseudepidalea viridis"
"Acanthocephalus ranae","Lissotriton vulgaris","Lissotriton vulgaris","Lissotriton","Lissotriton vulgaris"
"Acanthocephalus ranae","Rana arvalis","Rana arvalis","Rana","Rana arvalis"
"Acanthocephalus ranae","Rana esculenta","Rana esculenta","Rana","Rana esculenta"
"Acanthocephalus ranae","Rana ridibunda","Rana ridibunda","Rana","Pelophylax ridibundus"
"Acanthocephalus ranae","Rana temporaria","Rana temporaria","Rana","Rana temporaria"
"Acanthocephalus ranae","Salamandra atra","Salamandra atra","Salamandra","Salamandra atra"
"Acanthocephalus ranae","Triturus cristatus","Triturus cristatus","Triturus","Triturus cristatus"
"Acanthocephalus rhinensis","Echinogammarus tibaldii","Echinogammarus tibaldii","Echinogammarus","Echinogammarus tibaldii"
"Acanthocephalus rhinensis","Anguilla anguilla","Anguilla anguilla","Anguilla","Anguilla anguilla"
"Acanthocephalus sp.","Asellus hilgendorfi","Asellus hilgendorfi","Asellus","Asellus hilgendorfi"
"Acanthocephalus sp.","Gasterosteus aculeatus","Gasterosteus aculeatus","Gasterosteus","Gasterosteus aculeatus"
"Acanthocephalus sp.","Hucho perryi","Hucho perryi","Hucho","Parahucho perryi"
"Acanthocephalus sp.","Hypomesus nipponensis","Hypomesus nipponensis","Hypomesus","Hypomesus nipponensis"
"Acanthocephalus sp.","Oncorhynchus mykiss","Oncorhynchus mykiss","Oncorhynchus","Oncorhynchus mykiss"
"Acanthocephalus tumescens","Hyalella patagonica","Hyalella patagonica","Hyalella","Hyalella patagonica"
"Acanthocephalus tumescens","Diplomystes viedmensis","Diplomystes viedmensis","Diplomystes","Olivaichthys viedmensis"
"Acanthocephalus tumescens","Galaxias maculatus","Galaxias maculatus","Galaxias","Galaxias maculatus"
"Acanthocephalus tumescens","Oncorhynchus mykiss","Oncorhynchus mykiss","Oncorhynchus","Oncorhynchus mykiss"
"Acanthocephalus tumescens","Percichthys trucha","Percichthys trucha","Percichthys","Percichthys trucha"
"Acanthocephalus tumescens","Salvelinus fontinalis","Salvelinus fontinalis","Salvelinus","Salvelinus fontinalis"
