binomial,genus,family,order,class,phylum
Dila laevicollis,Dila,Tenebrionidae,Coleoptera,Insecta,Arthropoda
Ocnera sp.,Ocnera,Tenebrionidae,Coleoptera,Insecta,Arthropoda
Pelorocnemis punctata,Pelorocnemis,Tenebrionidae,Coleoptera,Insecta,Arthropoda
Perotmites tartaris,NA,NA,Orthoptera,Insecta,Arthropoda
Semenovia temerlana,NA,NA,Orthoptera,Insecta,Arthropoda
Stalagmoptera confusa,Stalagmoptera,Tenebrionidae,Coleoptera,Insecta,Arthropoda
Pisterotarsa gigantea,Pisterotarsa,Tenebrionidae,Coleoptera,Insecta,Arthropoda
Bufo viridis,Bufo,Bufonidae,Anura,Amphibia,Chordata
Paroxya clavuligera,Paroxya,Acrididae,Orthoptera,Insecta,Arthropoda
Deroceras agrestis,Deroceras,Agriolimacidae,Stylommatophora,Gastropoda,Mollusca
Deroceras columbianus,Deroceras,Agriolimacidae,Stylommatophora,Gastropoda,Mollusca
Deroceras laeve,Deroceras,Agriolimacidae,Stylommatophora,Gastropoda,Mollusca
Deroceras sp.,Deroceras,Agriolimacidae,Stylommatophora,Gastropoda,Mollusca
Helix hispida,Helix,Helicidae,Stylommatophora,Gastropoda,Mollusca
Lithobates clamitans,Lithobates,Ranidae,Anura,Amphibia,Chordata
Ammophorus insularis,Ammophorus,Tenebrionidae,Coleoptera,Insecta,Arthropoda
Ocnera hispida,Ocnera,Tenebrionidae,Coleoptera,Insecta,Arthropoda
Opatrinus pullus,Opatrinus,Tenebrionidae,Coleoptera,Insecta,Arthropoda
Ilyogenia africana,Ilyogenia,Lumbricidae,Haplotaxida,Clitellata,Annelida
Metamysis strauchi,Metamysis,Mysidae,Mysida,Malacostraca,Arthropoda
Lumbricina sp.,Lumbricina,Lumbricidae,Haplotaxida,Clitellata,Annelida
Catoptrophorus semipalmatus,Tringa,Scolopacidae,Charadriiformes,Aves,Chordata
Microparmarion malayanus,Microparmarion,Ariophantidae,Stylommatophora,Gastropoda,Mollusca
Prosopeas javanicum,Prosopeas,Achatinidae,Stylommatophora,Gastropoda,Mollusca
Onchorhynchus keta,Oncorhynchus,Salmonidae,Salmoniformes,Actinopteri,Chordata
Onchorhynchus nerka,Oncorhynchus,Salmonidae,Salmoniformes,Actinopteri,Chordata
Coloeus monedula,Coloeus,Corvidae,Passeriformes,Aves,Chordata
Lamellobates palustris,Lamellobates,Scheloribatidae,Sarcoptiformes,Arachnida,Arthropoda
Amietophrynus regularis,Amietophrynus,Bufonidae,Anura,Amphibia,Chordata
Octolasium lacteum,Octolasium,Lumbricidae,Haplotaxida,Clitellata,Annelida
Lebbeus polaris,Lebbeus,Hippolytidae,Decapoda,Malacostraca,Arthropoda
Idotea ochotensis,Idotea,Idoteidae,Isopoda,Malacostraca,Arthropoda
Macrophthalmus hirtipes,Macrophthalmus,Macrophthalmidae,Decapoda,Malacostraca,Arthropoda
Pubinus tomentosus,Pubinus,Scarabaeidae,Coleoptera,Insecta,Arthropoda
Subrinus sturmi,Subrinus,Scarabaeidae,Coleoptera,Insecta,Arthropoda
Ceratophius fossor,Ceratophius,Scarabaeidae,Coleoptera,Insecta,Arthropoda
Odonata sp.,NA,NA,Odonata,Insecta,Arthropoda
Protoschelobates sp.,Protoschelobates,Scheloribatidae,Sarcoptiformes,Arachnida,Arthropoda
Dometorina suramericana,Dometorina,Scheloribatidae,Sarcoptiformes,Arachnida,Arthropoda
Peloscolex multisetosus,Peloscolex,Naididae,Haplotaxida,Clitellata,Annelida
Histriophoca fasciata,Histriophoca,Phocidae,Carnivora,Mammalia,Chordata
Nosferatu labridens,Nosferatu,Cichlidae,Cichliformes,Actinopteri,Chordata
Eurythemora velox,Eurytemora,Temoridae,Calanoida,Hexanauplia,Arthropoda
