"i.vec","sp.query","q.rank","ncbi.ids","class","cohort","family","genus","infraclass","infraorder","kingdom","order","parvorder","phylum","species","species.group","subclass","subcohort","subfamily","subgenus","subkingdom","suborder","subphylum","subtribe","superclass","superfamily","superkingdom","superorder","tribe","host_record_lcdb_nhm"
2,"Abalistes stellaris","species","392897","Actinopteri","Euteleosteomorpha","Balistidae","Abalistes","Teleostei",NA,"Metazoa","Tetraodontiformes",NA,"Chordata","Abalistes stellaris",NA,"Neopterygii",NA,NA,NA,NA,NA,"Craniata",NA,"Actinopterygii","Balistoidea","Eukaryota",NA,NA,"Abalistes stellaris"
3,"Ablepharus deserti","genus","71012","Craniata",NA,"Scincidae","Ablepharus",NA,"Scinciformata","Metazoa","Squamata",NA,"Chordata",NA,NA,NA,NA,"Eugongylinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Lepidosauria",NA,"Ablepharus deserti"
4,"Abramis brama","species","38527","Actinopteri","Otomorpha","Cyprinidae","Abramis","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Abramis brama",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Abramis brama"
4,"Abramis brama","species","38527","Actinopteri","Otomorpha","Cyprinidae","Abramis","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Abramis brama",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Abramis brama danubii"
4,"Abramis brama","species","38527","Actinopteri","Otomorpha","Cyprinidae","Abramis","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Abramis brama",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Abramis brama orientalis"
5,"Abramis sp.","genus","38526","Actinopteri","Otomorpha","Cyprinidae","Abramis","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata",NA,NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Abramis sp."
6,"Abrothrix jelskii","species","241142","Mammalia",NA,"Cricetidae","Abrothrix",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Abrothrix jelskii",NA,NA,NA,"Sigmodontinae",NA,NA,"Myomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Abrothrix jelskii"
7,"Abudefduf declivifrons","species","36215","Actinopteri","Euteleosteomorpha","Pomacentridae","Abudefduf","Teleostei",NA,"Metazoa","Neopterygii",NA,"Chordata","Abudefduf declivifrons",NA,"Neopterygii",NA,NA,NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Abudefduf declivifrons"
8,"Abyssocottus bergianus","genus","61636","Actinopteri","Euteleosteomorpha","Cottidae","Abyssocottus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata",NA,NA,"Neopterygii",NA,NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Abyssocottus bergianus"
9,"Acanthistius patachonicus","species","1053711","Actinopteri","Euteleosteomorpha","Serranidae","Acanthistius","Teleostei",NA,"Metazoa","Perciformes",NA,"Chordata","Acanthistius patachonicus",NA,"Neopterygii",NA,"Anthiadinae",NA,NA,"Serranoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Acanthistius patachonicus"
10,"Acanthiza chrysorrhea","genus","108820","Aves",NA,"Acanthizidae","Acanthiza","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata",NA,NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii","Meliphagoidea","Eukaryota",NA,NA,"Acanthiza chrysorrhea"
11,"Acanthobrama centisquama","genus","155069","Actinopteri","Otomorpha","Cyprinidae","Acanthobrama","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata",NA,NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Acanthobrama centisquama"
12,"Acanthobrama marmid","species","155076","Actinopteri","Otomorpha","Cyprinidae","Acanthobrama","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Acanthobrama marmid",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Acanthobrama marmid"
15,"Acanthocyclops americanus","species","1266903","Hexanauplia",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda","Acanthocyclops americanus",NA,"Copepoda",NA,NA,NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Podoplea",NA,"Acanthocyclops americanus"
