i.vec,sp.query,q.rank,ncbi.ids,class,cohort,family,genus,infraclass,infraorder,kingdom,order,phylum,species,species group,subclass,subfamily,subgenus,subkingdom,suborder,subphylum,subtribe,superclass,superfamily,superkingdom,superorder,tribe
4,Aedes taeniorhynchus,genus,7158,Insecta,Holometabola,Culicidae,Aedes,Neoptera,Culicomorpha,Metazoa,Diptera,Arthropoda,NA,NA,Pterygota,Culicinae,NA,NA,Nematocera,Hexapoda,NA,NA,Culicoidea,Eukaryota,NA,Aedini
29,Asterina phylactica,species,195879,Asteroidea,NA,Asterinidae,Asterina,NA,NA,Metazoa,Valvatida,Echinodermata,Asterina phylactica,NA,NA,NA,NA,NA,NA,NA,NA,Asterozoa,NA,Eukaryota,Valvatacea,NA
35,Austrosimulium australense,genus,27462,Insecta,Holometabola,Simuliidae,Austrosimulium,Neoptera,Culicomorpha,Metazoa,Diptera,Arthropoda,NA,NA,Pterygota,Simuliinae,NA,NA,Nematocera,Hexapoda,NA,NA,Chironomoidea,Eukaryota,NA,Simuliini
36,Austrosimulium australense ,genus,27462,Insecta,Holometabola,Simuliidae,Austrosimulium,Neoptera,Culicomorpha,Metazoa,Diptera,Arthropoda,NA,NA,Pterygota,Simuliinae,NA,NA,Nematocera,Hexapoda,NA,NA,Chironomoidea,Eukaryota,NA,Simuliini
50,Calamus bajonado,species,1469962,Actinopteri,Euteleosteomorpha,Sparidae,Calamus,Teleostei,NA,Metazoa,Spariformes,Chordata,Calamus bajonado,NA,Neopterygii,NA,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
51,Calamus calamus,species,490251,Actinopteri,Euteleosteomorpha,Sparidae,Calamus,Teleostei,NA,Metazoa,Spariformes,Chordata,Calamus calamus,NA,Neopterygii,NA,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
52,Calamus pennatula,species,1930818,Actinopteri,Euteleosteomorpha,Sparidae,Calamus,Teleostei,NA,Metazoa,Spariformes,Chordata,Calamus pennatula,NA,Neopterygii,NA,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
66,Charybdis natator,species,243326,Malacostraca,NA,Portunidae,Charybdis,NA,Brachyura,Metazoa,Decapoda,Arthropoda,Charybdis natator,NA,Eumalacostraca,NA,NA,NA,Pleocyemata,Crustacea,NA,Multicrustacea,Portunoidea,Eukaryota,Eucarida,NA
71,Clevelandia ios,species,185732,Actinopteri,Euteleosteomorpha,Gobiidae,Clevelandia,Teleostei,NA,Metazoa,Gobiiformes,Chordata,Clevelandia ios,NA,Neopterygii,Gobionellinae,NA,NA,Gobioidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
77,Conus ebraeus,species,89425,Gastropoda,NA,Conidae,Conus,NA,NA,Metazoa,Neogastropoda,Mollusca,Conus ebraeus,NA,Caenogastropoda,NA,Virroconus,NA,NA,NA,NA,NA,Conoidea,Eukaryota,NA,NA
