"Parasite.species","tree_tips","parasite_genus","parasite_family","parasite_order","parasite_class","parasite_phylum","Host.no","Def.int","Stage","Facultative","num_hosts_lcdb","num_hosts_suspicious_removed","stage_missing_info","lcl_max","lcl_min","study_effort","partial_cycle","lcl_max_fac","hosts_missing_tax_lcdb","hsi_lcdb","var.hsi_lcdb","hsi_lcdb_suspcious_rem","var.hsi_lcdb_suspcious_rem","stage_body_length","stage_biov","avg_dt","avg_dd","abs_growth_len","rel_growth_len","abs_growth_biov","rel_growth_biov","Asexual"
"Abbreviata antarctica","Abbreviata_antarctica","Abbreviata","Physalopteridae","Spirurida","Chromadorea","Nematoda",1,"int","1larv","no",2,2,"complete",2,2,2,"complete","2",0,2,0,2,0,1.6,NA,25.5,586.5,NA,NA,NA,NA,NA
"Abbreviata antarctica","Abbreviata_antarctica","Abbreviata","Physalopteridae","Spirurida","Chromadorea","Nematoda",2,"def","adult","no",12,12,"complete",2,2,2,"complete","2",0,2.74242424242424,0.312442607897153,2.74242424242424,0.312442607897153,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbreviata caucasica","Abbreviata_caucasica","Abbreviata","Physalopteridae","Spirurida","Chromadorea","Nematoda",1,"int","1larv","no",2,2,"complete",2,2,10,"complete","2",1,1,NA,1,NA,2.225,0.0338453103174419,33,550,2.1875,1.77329874758923,0.033197356832639,1.71795467045055,NA
"Abbreviata caucasica","Abbreviata_caucasica","Abbreviata","Physalopteridae","Spirurida","Chromadorea","Nematoda",2,"def","adult","no",4,4,"complete",2,2,10,"complete","2",0,2.33333333333333,0.555555555555556,2.33333333333333,0.555555555555556,35.75,256.481587734479,NA,NA,33.525,1.20594603082015,256.447742424162,3.87955769312669,NA
"Abbreviata kazachstanica","Abbreviata_kazachstanica","Abbreviata","Physalopteridae","Spirurida","Chromadorea","Nematoda",1,"int","1larv","no",25,25,"complete",3,2,0,"complete","3",6,3.28070175438596,0.833487226839027,3.28070175438596,0.833487226839027,6.7125,0.177600000475193,24.5,NA,6.65225,2.04692724746071,0.176073134085671,2.06564192740279,NA
"Abbreviata kazachstanica","Abbreviata_kazachstanica","Abbreviata","Physalopteridae","Spirurida","Chromadorea","Nematoda",2,"int","2larv","paratenic",2,2,"complete",3,2,0,"complete","3",0,5,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbreviata kazachstanica","Abbreviata_kazachstanica","Abbreviata","Physalopteridae","Spirurida","Chromadorea","Nematoda",3,"def","adult","no",1,1,"complete",3,2,0,"complete","3",0,1,NA,1,NA,11.4,1.20648938870299,NA,NA,NA,NA,NA,NA,NA
"Abbreviata turkomanica","Abbreviata_turkomanica","Abbreviata","Physalopteridae","Spirurida","Chromadorea","Nematoda",1,"int","1larv","no",1,1,"complete",2,2,0,"complete","2",1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbreviata turkomanica","Abbreviata_turkomanica","Abbreviata","Physalopteridae","Spirurida","Chromadorea","Nematoda",2,"def","adult","no",3,3,"complete",2,2,0,"complete","2",0,1.66666666666667,0.222222222222222,1.66666666666667,0.222222222222222,22.24,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthobothrium brevissime","Acanthobothrium_brevissime","Acanthobothrium","Onchobothriidae","Tetraphyllidea","Cestoda","Platyhelminthes",1,"int","1larv","no",2,2,"complete",2,2,2,"complete","2",0,6,0,6,0,0.655,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthobothrium brevissime","Acanthobothrium_brevissime","Acanthobothrium","Onchobothriidae","Tetraphyllidea","Cestoda","Platyhelminthes",2,"def","adult","no",1,1,"complete",2,2,2,"complete","2",0,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthobothrium olseni","Acanthobothrium_olseni","Acanthobothrium","Onchobothriidae","Tetraphyllidea","Cestoda","Platyhelminthes",1,"int","1larv","no",1,1,"complete",3,3,0,"partial","3",0,1,NA,1,NA,0.21,0.016933184402849,9,166.5,0.195,1.14612803567824,0.0168295118452805,2.21307482530885,NA
"Acanthobothrium olseni","Acanthobothrium_olseni","Acanthobothrium","Onchobothriidae","Tetraphyllidea","Cestoda","Platyhelminthes",3,"def","adult","no",2,2,"complete",3,3,0,"partial","3",0,4,0,4,0,4.38,0.881694,NA,NA,NA,NA,NA,NA,NA
"Acanthocephalus anguillae","Acanthocephalus_anguillae","Acanthocephalus","Echinorhynchidae","Echinorhynchida","Palaeacanthocephala","Acanthocephala",1,"int","1larv","no",1,1,"complete",2,2,27,"complete","2",0,1,NA,1,NA,4.8033,1.21946263238153,41.5,641,4.7033,1.68153971224291,1.21877148199774,3.24659594338503,NA
"Acanthocephalus anguillae","Acanthocephalus_anguillae","Acanthocephalus","Echinorhynchidae","Echinorhynchida","Palaeacanthocephala","Acanthocephala",2,"def","adult","no",7,7,"complete",2,2,27,"complete","2",0,2.52380952380952,0.91609977324263,2.52380952380952,0.91609977324263,16,NA,NA,NA,11.1967,0.522580270413012,NA,NA,NA
"Acanthocephalus anthuris","Acanthocephalus_anthuris","Acanthocephalus","Echinorhynchidae","Echinorhynchida","Palaeacanthocephala","Acanthocephala",1,"int","1larv","no",1,1,"complete",2,2,0,"complete","2",0,1,NA,1,NA,2.4175,0.532068083968372,NA,NA,2.3225,1.40564287746619,NA,NA,NA
