"Parasite.species","n_lcdb","n_pubmed_spname","n_pubmed_spname_group"
"Abbreviata antarctica",2,2,2
"Abbreviata caucasica",5,10,8
"Abbreviata kazachstanica",3,0,0
"Abbreviata turkomanica",2,0,0
"Acanthobothrium brevissime",2,2,2
"Acanthobothrium olseni",3,0,0
"Acanthocephalus anguillae",6,27,23
"Acanthocephalus anthuris",3,0,0
"Acanthocephalus clavula",4,14,12
"Acanthocephalus dirus",9,12,12
"Acanthocephalus galaxii",2,5,5
"Acanthocephalus lucii",10,53,46
"Acanthocephalus ranae",6,10,7
"Acanthocephalus rhinensis",2,0,0
"Acanthocephalus sp.",1,2,1
"Acanthocephalus tumescens",5,7,7
"Acanthocirrus retrirostris",3,0,0
"Acanthogyrus (Acanthosentis) lizae",2,1,1
"Acanthosentis dattai",2,0,0
"Acuaria anthuris",4,0,0
"Acuaria depressa",3,0,0
"Acuaria gruveli",2,2,2
"Acuaria hamulosa",9,4,2
"Acuaria subula",3,3,3
"Aelurostrongylus abstrusus",12,166,92
"Aelurostrongylus falciformis",2,5,2
"Aelurostrongylus pridhami",4,1,1
"Allodapa suctoria",11,8,5
"Amidostomum acutum",6,8,7
"Amidostomum anseris",6,22,16
"Amidostomum fulicae",4,0,0
"Amirthalingamia macracantha",3,3,2
"Amoebotaenia cuneata",5,9,6
"Amphilina foliacea",2,10,8
"Amplicaecum robertsi",4,10,4
"Ancyracanthopsis winegardi",1,0,0
"Andersonstrongylus captivensis",2,0,0
"Angiostrongylus andersoni",2,0,0
"Angiostrongylus cantonensis",18,1087,437
"Angiostrongylus costaricensis",4,155,88
"Angiostrongylus dujardini",4,2,2
"Angiostrongylus mackerrasae",2,10,5
"Angiostrongylus malaysiensis",3,31,22
"Angiostrongylus schmidti",2,2,2
"Angiostrongylus siamensis",3,5,4
"Angiostrongylus vasorum",8,301,147
"Anguillicola crassus",14,118,102
"Anguillicola globiceps",3,0,0
"Anguillicola novaezelandiae",5,9,6
"Anguillicola papernai",1,1,1
"Anisakis berlandi",2,6,5
"Anisakis brevispiculata",4,11,11
"Anisakis nascettii",4,4,4
"Anisakis paggiae",4,10,9
"Anisakis pegreffii",8,115,88
"Anisakis physeteris",6,39,29
"Anisakis simplex",23,631,322
"Anisakis typica",7,40,34
"Anisakis ziphidarum",5,8,8
"Anomotaenia brevis",2,5,4
"Anomotaenia clavigera",3,0,0
"Anomotaenia constricta",6,3,3
"Anomotaenia pyriformis",2,0,0
"Anomotaenia tringae",1,5,5
