"Parasite.genus","n_lcdb","n_pubmed_gen","n_pubmed_gen_group"
"Abbreviata",12,108,31
"Acanthobothrium",5,48,45
"Acanthocephalus",42,168,145
"Acanthocirrus",3,0,0
"Acanthogyrus",2,9,9
"Acanthosentis",2,18,18
"Acuaria",20,29,22
"Aelurostrongylus",18,191,104
"Allodapa",11,10,7
"Amidostomum",9,42,29
"Amirthalingamia",3,7,6
"Amoebotaenia",5,16,13
"Amphilina",2,13,11
"Amplicaecum",4,13,7
"Ancyracanthopsis",1,2,2
"Andersonstrongylus",2,0,0
"Angiostrongylus",40,1675,747
"Anguillicola",18,125,107
"Anisakis",35,1290,683
"Anomotaenia",10,27,24
"Anoplocephala",13,167,119
"Anoplotaenia",1,3,3
"Anthobothrium",1,12,12
"Aonchotheca",14,50,36
"Aplectana",4,50,44
"Aploparaksis",27,22,21
"Aporhynchus",2,5,5
"Aprostatandrya",2,2,2
"Archigetes",10,11,11
"Arhythmorhynchus",3,11,10
"Ascaridia",21,569,262
"Ascaris",16,8596,1634
"Ascarophis",16,38,38
"Ascarops",10,40,28
"Aspersentis",5,5,5
"Aspiculuris",5,126,74
"Atactorhynchus",1,1,1
"Atractolytocestus",2,18,18
"Atriotaenia",1,12,12
"Austramphilina",2,2,1
"Avioserpens",5,4,4
"Avitellina",14,34,28
"Baruscapillaria",9,12,11
"Batrachocamallanus",3,2,2
"Baylisascaris",28,8805,2217
"Bertiella",10,63,51
"Biacetabulum",7,3,3
"Blatticola",3,10,3
"Bolbosoma",8,32,28
"Bothridium",4,21,19
"Bothrimonus",1,3,3
"Bothriocephalus",47,162,134
"Branchiopodataenia",7,2,2
"Brevimulticaecum",3,18,18
"Caballerorhynchus",2,1,1
"Calliobothrium",1,14,13
"Callotetrarhynchus",7,0,0
"Camallanus",26,93,81
"Capillaria",13,1001,580
"Capillospirura",2,2,2
"Caryophyllaeus",8,43,36
"Catenotaenia",7,18,17
"Centrorhynchus",8,55,47
"Cephalochlamys",3,3,3
"Chabertia",9,149,136
"Cheilospirura",3,19,15
"Choanotaenia",11,40,32
"Cittotaenia",6,17,13
"Cladotaenia",18,11,11
"Clavinema",2,2,2
"Clistobothrium",8,8,8
"Cloacotaenia",11,9,9
"Comephoronema",1,3,3
"Confluaria",5,14,14
"Contracaecum",45,340,288
"Cooperia",14,1000,802
"Corallobothrium",4,9,9
"Corallotaenia",2,4,4
"Coronacanthus",5,3,3
"Corynosoma",35,125,111
"Cosmocephalus",5,11,10
"Crenosoma",8,111,70
"Ctenotaenia",4,5,4
"Cucullanus",8,80,71
"Cyathocephalus",11,35,28
"Cyathostoma",7,23,18
"Cyathostomum",5,89,54
"Cyclodontostomum",3,10,6
"Cyclustera",13,8,7
"Cylicocyclus",5,108,68
